COMPANYID;CEQID;CANID;DATA;DT_INTEGRACAO;LAT;LON;ALT;DIRECTION;SPEED;FAMILYCODE;FUNCTION;ERRORTAGS;TYPE;TEXT;UNIFIEDVALUE;UOM;VALUE
ACC000028047;CEQ000439555;7411;23/09/2023 04:44:48;23/09/2023 18:25:49;-22.63939;-50.087055;557.42;15;;BC_HYD_PRESS;last;;Numeric;;5880;KPA;5880
ACC000028047;CEQ000439555;7411;24/09/2023 03:01:57;24/09/2023 07:46:28;-22.638788;-50.08458;577.02;193.8;;BC_HYD_PRESS;last;;Numeric;;5225;KPA;5225
ACC000028047;CEQ000439555;7411;24/09/2023 02:42:54;24/09/2023 05:44:33;-22.637794;-50.08428;572.3;197;;BC_HYD_PRESS;last;;Numeric;;3830;KPA;3830
ACC000028047;CEQ000439555;7411;24/09/2023 02:41:54;24/09/2023 05:44:33;-22.637194;-50.08406;572.26;200.7;;BC_HYD_PRESS;last;;Numeric;;3535;KPA;3535
ACC000028047;CEQ000439555;7411;22/09/2023 09:24:44;22/09/2023 12:33:01;-22.639238;-50.092022;533.44;0;;BC_HYD_PRESS;last;;Numeric;;385;KPA;385
ACC000028047;CEQ000439555;7411;22/09/2023 09:23:44;22/09/2023 12:33:01;-22.639236;-50.092022;532.39;0;;BC_HYD_PRESS;last;;Numeric;;390;KPA;390
ACC000028047;CEQ000439555;7411;24/09/2023 06:48:53;24/09/2023 10:26:12;-22.635801;-50.082745;553.97;231.3;;BC_HYD_PRESS;last;;Numeric;;6260;KPA;6260
ACC000028047;CEQ000439555;7411;24/09/2023 06:46:53;24/09/2023 10:26:12;-22.635181;-50.080166;551.23;273.6;;BC_HYD_PRESS;last;;Numeric;;7440;KPA;7440
ACC000028047;CEQ000439555;7411;24/09/2023 06:35:51;24/09/2023 10:26:12;-22.63963;-50.084515;550.99;191.4;;BC_HYD_PRESS;last;;Numeric;;4795;KPA;4795
ACC000028047;CEQ000439555;7411;24/09/2023 10:48:40;24/09/2023 14:06:01;-22.636992;-50.08324;575.2;34.8;;BC_HYD_PRESS;last;;Numeric;;5275;KPA;5275
ACC000028047;CEQ000439555;7411;24/09/2023 10:47:40;24/09/2023 14:06:01;-22.637846;-50.083694;571.85;15.8;;BC_HYD_PRESS;last;;Numeric;;7605;KPA;7605
ACC000028047;CEQ000439555;7411;23/09/2023 19:07:04;24/09/2023 05:35:36;-22.637085;-50.085876;576.51;187.5;;BC_HYD_PRESS;last;;Numeric;;6750;KPA;6750
ACC000028047;CEQ000439555;7411;23/09/2023 19:06:03;24/09/2023 05:35:36;-22.635891;-50.085728;577.22;193.4;;BC_HYD_PRESS;last;;Numeric;;8435;KPA;8435
ACC000028047;CEQ000439555;7411;23/09/2023 18:44:57;24/09/2023 00:09:57;-22.640114;-50.086384;553.52;12.7;;BC_HYD_PRESS;last;;Numeric;;5095;KPA;5095
ACC000028047;CEQ000439555;7411;24/09/2023 15:05:07;24/09/2023 18:26:58;-22.63684;-50.08233;560.74;42.5;;BC_HYD_PRESS;last;;Numeric;;5270;KPA;5270
ACC000028047;CEQ000439555;7411;24/09/2023 10:37:01;24/09/2023 14:06:01;-22.637243;-50.083454;568.67;29.7;;BC_HYD_PRESS;last;;Numeric;;4800;KPA;4800
ACC000028047;CEQ000439555;7411;24/09/2023 14:58:06;24/09/2023 18:26:58;-22.636803;-50.08235;562.52;220.4;;BC_HYD_PRESS;last;;Numeric;;4890;KPA;4890
ACC000028047;CEQ000439555;7411;22/09/2023 11:07:56;22/09/2023 14:13:39;-22.637516;-50.092033;539.19;13;;BC_HYD_PRESS;last;;Numeric;;3120;KPA;3120
ACC000028047;CEQ000439555;7411;22/09/2023 11:06:56;22/09/2023 14:13:39;-22.636425;-50.09203;538.13;176.9;;BC_HYD_PRESS;last;;Numeric;;8300;KPA;8300
ACC000028047;CEQ000439555;7411;23/09/2023 06:20:21;23/09/2023 18:25:49;-22.639528;-50.087;553.92;10.6;;BC_HYD_PRESS;last;;Numeric;;5815;KPA;5815
ACC000028047;CEQ000439555;7411;23/09/2023 06:19:20;23/09/2023 18:25:49;-22.64066;-50.08728;554.19;13.3;;BC_HYD_PRESS;last;;Numeric;;4865;KPA;4865
ACC000028047;CEQ000439555;7411;23/09/2023 06:04:18;23/09/2023 18:25:49;-22.638887;-50.086933;550.6;190.6;;BC_HYD_PRESS;last;;Numeric;;5340;KPA;5340
ACC000028047;CEQ000439555;7411;23/09/2023 05:12:52;23/09/2023 18:25:49;-22.644081;-50.088463;563.75;15.5;;BC_HYD_PRESS;last;;Numeric;;5535;KPA;5535
ACC000028047;CEQ000439555;7411;23/09/2023 04:43:47;23/09/2023 18:25:49;-22.639832;-50.08718;555.86;11.9;;BC_HYD_PRESS;last;;Numeric;;4345;KPA;4345
ACC000028047;CEQ000439555;7411;24/09/2023 03:00:58;24/09/2023 07:46:28;-22.63797;-50.084324;570.15;194.9;;BC_HYD_PRESS;last;;Numeric;;4140;KPA;4140
ACC000028047;CEQ000439555;7411;24/09/2023 02:59:57;24/09/2023 07:46:28;-22.63713;-50.084045;572.52;199.1;;BC_HYD_PRESS;last;;Numeric;;5540;KPA;5540
ACC000028047;CEQ000439555;7411;24/09/2023 02:40:54;24/09/2023 05:44:33;-22.636776;-50.083897;563.32;198.4;;BC_HYD_PRESS;last;;Numeric;;3400;KPA;3400
ACC000028047;CEQ000439555;7411;22/09/2023 11:42:01;22/09/2023 15:11:55;-22.63528;-50.09216;542.25;241.4;;BC_HYD_PRESS;last;;Numeric;;425;KPA;425
ACC000028047;CEQ000439555;7411;22/09/2023 09:22:43;22/09/2023 12:33:01;-22.639235;-50.092022;532.69;0;;BC_HYD_PRESS;last;;Numeric;;390;KPA;390
ACC000028047;CEQ000439555;7411;24/09/2023 07:06:56;24/09/2023 10:26:12;-22.636347;-50.083263;554.61;220.2;;BC_HYD_PRESS;last;;Numeric;;5900;KPA;5900
ACC000028047;CEQ000439555;7411;24/09/2023 07:05:56;24/09/2023 10:26:12;-22.635523;-50.082283;558.65;240.7;;BC_HYD_PRESS;last;;Numeric;;6830;KPA;6830
ACC000028047;CEQ000439555;7411;24/09/2023 06:45:53;24/09/2023 10:26:12;-22.635246;-50.07953;560.76;9.6;;BC_HYD_PRESS;last;;Numeric;;430;KPA;430
ACC000028047;CEQ000439555;7411;24/09/2023 06:44:53;24/09/2023 10:26:12;-22.635265;-50.07954;560.35;91.8;;BC_HYD_PRESS;last;;Numeric;;3645;KPA;3645
ACC000028047;CEQ000439555;7411;24/09/2023 06:34:52;24/09/2023 10:26:12;-22.638401;-50.08424;552.61;195.6;;BC_HYD_PRESS;last;;Numeric;;5550;KPA;5550
ACC000028047;CEQ000439555;7411;24/09/2023 06:33:51;24/09/2023 10:26:12;-22.637177;-50.083866;554.13;198;;BC_HYD_PRESS;last;;Numeric;;5730;KPA;5730
ACC000028047;CEQ000439555;7411;24/09/2023 10:46:39;24/09/2023 14:06:01;-22.638987;-50.083996;572.41;0;;BC_HYD_PRESS;last;;Numeric;;2860;KPA;2860
ACC000028047;CEQ000439555;7411;23/09/2023 18:43:57;24/09/2023 00:09:57;-22.641426;-50.086754;553.41;14.7;;BC_HYD_PRESS;last;;Numeric;;5280;KPA;5280
ACC000028047;CEQ000439555;7411;24/09/2023 15:03:54;24/09/2023 18:26:58;-22.638315;-50.083267;561.03;22.4;;BC_HYD_PRESS;last;;Numeric;;3415;KPA;3415
ACC000028047;CEQ000439555;7411;24/09/2023 15:03:06;24/09/2023 18:26:58;-22.639154;-50.083717;563.54;22.2;;BC_HYD_PRESS;last;;Numeric;;6430;KPA;6430
ACC000028047;CEQ000439555;7411;24/09/2023 15:02:06;24/09/2023 18:26:58;-22.640547;-50.084236;562.63;17.9;;BC_HYD_PRESS;last;;Numeric;;4955;KPA;4955
ACC000028047;CEQ000439555;7411;24/09/2023 14:16:59;24/09/2023 17:49:30;-22.638882;-50.083714;564.07;24.8;;BC_HYD_PRESS;last;;Numeric;;4850;KPA;4850
ACC000028047;CEQ000439555;7411;24/09/2023 14:13:56;24/09/2023 17:49:30;-22.639318;-50.08405;561.2;201;;BC_HYD_PRESS;last;;Numeric;;5550;KPA;5550
ACC000028047;CEQ000439555;7411;22/09/2023 11:05:55;22/09/2023 14:13:39;-22.635197;-50.092228;537.61;0;;BC_HYD_PRESS;last;;Numeric;;3040;KPA;3040
ACC000028047;CEQ000439555;7411;23/09/2023 06:18:20;23/09/2023 18:25:49;-22.641085;-50.08741;552.16;341.3;;BC_HYD_PRESS;last;;Numeric;;2990;KPA;2990
ACC000028047;CEQ000439555;7411;23/09/2023 06:17:20;23/09/2023 18:25:49;-22.642136;-50.087746;553.33;14.6;;BC_HYD_PRESS;last;;Numeric;;5210;KPA;5210
ACC000028047;CEQ000439555;7411;23/09/2023 06:03:17;23/09/2023 18:25:49;-22.637745;-50.086773;549.18;188.8;;BC_HYD_PRESS;last;;Numeric;;6220;KPA;6220
ACC000028047;CEQ000439555;7411;23/09/2023 05:44:58;23/09/2023 18:25:49;-22.63596;-50.086494;551;9.4;;BC_HYD_PRESS;last;;Numeric;;6375;KPA;6375
ACC000028047;CEQ000439555;7411;23/09/2023 05:43:57;23/09/2023 18:25:49;-22.637241;-50.086674;551.94;7.4;;BC_HYD_PRESS;last;;Numeric;;6790;KPA;6790
